code,old_name,name,status,reason
FY.OP.008,,Cocinero,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.OP.009,,Carpintero,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PAQ.001,,Paquete de útiles escolares,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PAQ.002,,Paquete de estrellas,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PAQ.003,,Paquete de los cinco sentidos,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PAQ.004,,Paquete de corazones,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PAQ.005,,Paquete de flores,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PAQ.006,,Paquete de huellas y huesos,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PE.001,,Pez azul y amarillo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PE.002,,Pez verde y rosa,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PE.003,,Pez naranja y amarillo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PE.004,,Pez amarillo y verde,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PE.005,,Pez azul,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PE.006,,Pez naranja con franjas blancas,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.001,,Oso con vaso,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.002,,Criatura azul de orejas grandes,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.003,,Erizo azul,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.004,,Superhéroe con telarañas,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.005,,Auto de carreras rojo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.006,,Perro con libro,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.007,,Niño con traje rojo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.008,,Gatita con flor,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.009,,Hada con vestido verde,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.010,,Perro bombero con cartel,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.011,,Perro policía con cartel,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.012,,Perro constructor con cartel,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.013,,Ratona con lazo rojo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.014,,Cara de perro policía,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.015,,Cara de perro bombero,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.PER.016,,Cara de perro constructor,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.RE.001,,Sacerdote,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.RE.002,,Ángel con alas rosas,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.RE.003,,Ángel con alas azules,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.RE.004,,Hombre con túnica,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.RE.005,,Monja con rosario,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.RE.006,,Virgen con manto verde,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.RE.007,Virgen de la Medalla Milagrosa,Virgen de la Medalla Milagrosa,retained,Nombre previo compatible con la imagen.
FY.RE.008,,Virgen con manto azul,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.RE.009,,Bebé en pesebre,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.RE.010,María,María,retained,Nombre previo compatible con la imagen.
FY.RE.011,José,José,retained,Nombre previo compatible con la imagen.
FY.TOP.001,,Topper Felicitaciones,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.TOP.002,,Topper Feliz Día Mamá,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.TOP.003,,Topper Feliz Cumple,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.TOP.004,,Topper Feliz Día,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.001,,Mazo de juez,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.002,,Frasco con pastillas,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.003,Identificativos,Identificativos,retained,Nombre previo compatible con la imagen.
FY.VAR.004,,Volcán,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.005,,Estetoscopio,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.006,,Planeta Tierra en una mano,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.007,,Esposas,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.008,Ciclo del agua,Ciclo del agua,retained,Nombre previo compatible con la imagen.
FY.VAR.009,,Chaleco de policía,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.010,,Botiquín,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.011,,Bandera tricolor,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.012,,Animal con cartel Feliz Día,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.013,,Iglesia,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.014,,Mapa del Ecuador,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.015,,Casa,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.016,Identificativos,Identificativos,retained,Nombre previo compatible con la imagen.
FY.VAR.017,,Cerdo con órganos internos,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.018,,Anatomía interna del cerdo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.VAR.019,,,pending,"Se ve un corte anatómico parcial, pero no se distinguen con suficiente certeza el animal ni el sistema representado. Se conserva el código."
